,title,tags,release date,original price,discount price,thumbnail
0,Assetto Corsa,"['Racing', 'Automobile Sim', 'Simulation', 'Driving', 'Multiplayer']","Dec 19, 2014","R$59,99","R$5,99",https://cdn.akamai.steamstatic.com/steam/apps/244210/header.jpg?t=1686917372
1,Chained Together,"['Adventure', 'Casual', 'Simulation', 'Action-Adventure', 'Platformer']","Jun 19, 2024","R$16,99","R$15,29",https://cdn.akamai.steamstatic.com/steam/apps/2567870/header.jpg?t=1718811833
2,KINGDOM HEARTS -HD 1.5+2.5 ReMIX-,"['Action', 'RPG', 'Adventure', 'JRPG', 'Action-Adventure']","Jun 13, 2024","R$219,90","R$151,73",https://cdn.akamai.steamstatic.com/steam/apps/2552430/header.jpg?t=1718708278
3,Forza Horizon 5,"['Racing', 'Open World', 'Driving', 'Multiplayer', 'Automobile Sim']","Nov 9, 2021","R$249,00","R$124,50",https://cdn.akamai.steamstatic.com/steam/apps/1551360/header.jpg?t=1718730250
4,Grand Theft Auto V,"['Open World', 'Action', 'Multiplayer', 'Crime', 'Automobile Sim']","Apr 13, 2015","R$109,89","R$82,41",https://cdn.akamai.steamstatic.com/steam/apps/271590/header.jpg?t=1716224849
5,Back 4 Blood,"['Zombies', 'Online Co-Op', 'Multiplayer', 'Shooter', 'FPS']","Oct 12, 2021","R$279,99","R$27,99",https://cdn.akamai.steamstatic.com/steam/apps/924970/header.jpg?t=1715792410
6,ASKA,"['Online Co-Op', 'Multiplayer', 'Crafting', 'Singleplayer', 'Open World Survival Craft']","Jun 20, 2024","R$73,99","R$66,59",https://cdn.akamai.steamstatic.com/steam/apps/1898300/header.jpg?t=1718895402
7,Watch_Dogs® 2,"['Open World', 'Hacking', 'Illuminati', 'Parkour', 'Action']","Nov 29, 2016","R$149,99","R$22,49",https://cdn.akamai.steamstatic.com/steam/apps/447040/header.jpg?t=1692817739
8,Resident Evil 4,"['Horror', 'Action', 'Survival Horror', 'Third-Person Shooter', 'Zombies']","Mar 23, 2023","R$169,00","R$126,75",https://cdn.akamai.steamstatic.com/steam/apps/2050650/header.jpg?t=1707455805
9,Dead Cells,"['Adventure', 'Pixel Graphics', 'Action Roguelike', 'Metroidvania', '2D']","Aug 6, 2018","R$47,49","R$23,74",https://cdn.akamai.steamstatic.com/steam/apps/588650/header.jpg?t=1717495895
10,Dragon Age™ Inquisition,"['RPG', 'Open World', 'Character Customization', 'Choices Matter', 'Fantasy']","Jun 4, 2020","R$209,00","R$20,90",https://cdn.akamai.steamstatic.com/steam/apps/1222690/header.jpg?t=1668811031
11,theHunter: Call of the Wild™,"['Hunting', 'Open World', 'Multiplayer', 'Relaxing', 'Nature']","Feb 16, 2017","R$59,99","R$8,39",https://cdn.akamai.steamstatic.com/steam/apps/518790/header.jpg?t=1718874371
